Task ID,Route Name,Vehicle ID,Date,Due Date,Arrive Time,Operation,Task Template,Task Status,Planned/Adhoc,Zone,Service Point,Asset Types,Completed Asset Types,Asset Collects
360-24141021,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,8:56:05 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-1808,"1100L, 240L",240L,1
360-24141625,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,8:52:19 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-2965,"1100L, 240L",240L,1
360-24141769,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,8:50:21 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-4951,"1100L, 240L",240L,1
360-24141749,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,8:44:31 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-5894,"1100L, 240L",1100L,1
360-24140885,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,8:43:39 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-5895,"1100L, 240L",1100L,1
360-24141335,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,8:43:01 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0712,"1100L, 240L",1100L,1
360-24141737,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,8:42:21 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-5881,"1100L, 240L",240L,1
360-24141734,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,8:41:19 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-5880,"1100L, 240L",240L,1
360-24141922,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,8:40:16 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-1947,"1100L, 240L",240L,1
360-24140702,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,8:38:53 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0919,"1100L, 240L",1100L,1
360-24141206,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,8:36:35 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0961,"1100L, 240L",1100L,1
